Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2580","Olive Oil","2013","2013","kg/cap","1.04","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2582","Maize Germ Oil","2013","2013","kg/cap","1.6","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2601","Tomatoes and products","2013","2013","kg/cap","18.6","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2602","Onions","2013","2013","kg/cap","8.87","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2605","Vegetables, other","2013","2013","kg/cap","81","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2611","Oranges, Mandarines","2013","2013","kg/cap","43.44","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2612","Lemons, Limes and products","2013","2013","kg/cap","5.11","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2613","Grapefruit and products","2013","2013","kg/cap","2.03","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2614","Citrus, Other","2013","2013","kg/cap","1.28","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2615","Bananas","2013","2013","kg/cap","15.11","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2616","Plantains","2013","2013","kg/cap","0.43","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2617","Apples and products","2013","2013","kg/cap","21.33","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2618","Pineapples and products","2013","2013","kg/cap","4.94","E","Estimated value"
"FBSH","Food Balances (-2013, old methodology and population)","124","Canada","645","Food supply quantity (kg/capita/yr)","S2619","Dates","2013","2013","kg/cap","0.27","E","Estimated value"
